Unemp_Rate_(In %),Month,Year
4.7,2,2018
4.5,3,2018
4.3,4,2018
4.2,5,2018
4.8,6,2018
5.2,7,2018
5.0,8,2018
4.6,9,2018
4.6,10,2018
4.4,11,2018
4.5,12,2018
5.1,1,2019
4.6,2,2019
4.6,3,2019
4.2,4,2019
4.2,5,2019
4.7,6,2019
5.2,7,2019
5.0,8,2019
4.5,9,2019
4.5,10,2019
4.3,11,2019
4.3,12,2019
4.9,1,2020
4.7,2,2020
6.7,3,2020
17.8,4,2020
19.4,5,2020
18.0,6,2020
18.5,7,2020
16.7,8,2020
12.0,9,2020
10.7,10,2020
10.5,11,2020
10.8,12,2020
10.9,1,2021
10.4,2,2021
10.1,3,2021
10.2,4,2021
9.5,5,2021
10.0,6,2021
9.6,7,2021
9.0,8,2021
7.7,9,2021
7.2,10,2021
6.2,11,2021
5.7,12,2021
